DATE, ID, HOUR, POWER, PRESSURE
2015-02-27, ID773813, 16, -144.204, 28.509
2015-02-27, ID773813, 17, -125.896, 29.152
2015-02-27, ID773813, 18, -109.032, 29.431
2015-02-27, ID773813, 19, -103.99, 30.415
2015-02-27, ID773813, 20, -107.567, 31.628
2015-02-27, ID773813, 21, -107.419, 33.026
2015-02-27, ID773813, 22, -111.586, 34.112
2015-02-27, ID773813, 23, -121.451, 33.946
2015-02-27, ID773813, 24, -146.21, 33.855
2015-02-27, ID773819, 1, -10.894, 34.125
2015-02-27, ID773819, 2, -9.331, 33.752
2015-02-27, ID773819, 3, -8.895, 33.31
2015-02-27, ID773819, 4, -8.093, 33.367
2015-02-27, ID773819, 5, -7.382, 33.424
2015-02-27, ID773819, 6, -6.753, 33.477
2015-02-27, ID773819, 7, -6.238, 33.549
2015-02-27, ID773819, 8, -5.918, 33.583
2015-02-27, ID773819, 9, -6.494, 33.675
2015-02-27, ID773819, 10, -6.277, 33.726
2015-02-27, ID773819, 11, -7.128, 33.707
2015-02-27, ID773819, 12, -7.744, 33.766
2015-02-27, ID773819, 13, -8.105, 33.702
2015-02-27, ID773819, 14, -7.931, 33.581
2015-02-27, ID773819, 15, -7.643, 33.526
2015-02-27, ID773819, 16, -6.245, 33.529
2015-02-27, ID773819, 17, -3.242, 33.537
2015-02-27, ID773819, 18, -0.432, 33.532
2015-02-27, ID773819, 19, 0.0, 33.709
2015-02-27, ID773819, 20, -1.135, 34.044
2015-02-27, ID773819, 21, 0.0, 34.217
2015-02-27, ID773819, 22, 0.0, 34.196
2015-02-27, ID773819, 23, 0.0, 34.129
2015-02-27, ID773819, 24, -2.142, 34.121
2015-02-27, ID773824, 1, -55.958, 33.344
2015-02-27, ID773824, 2, -51.953, 32.956
2015-02-27, ID773824, 3, -51.086, 32.496
2015-02-27, ID773824, 4, -45.654, 32.577
2015-02-27, ID773824, 5, -45.015, 32.68
2015-02-27, ID773824, 6, -47.284, 32.771
2015-02-27, ID773824, 7, -43.376, 32.835
2015-02-27, ID773824, 8, -41.007, 32.878
2015-02-27, ID773824, 9, -39.933, 32.996
2015-02-27, ID773824, 10, -38.188, 33.081
2015-02-27, ID773824, 11, -37.915, 33.085
2015-02-27, ID773824, 12, -38.057, 33.17
2015-02-27, ID773824, 13, -35.606, 33.028
2015-02-27, ID773824, 14, -35.469, 32.86
2015-02-27, ID773824, 15, -32.284, 32.803
2015-02-27, ID773824, 16, -28.954, 32.829
2015-02-27, ID773824, 17, -22.445, 32.934
2015-02-27, ID773824, 18, -1.409, 33.063
2015-02-27, ID773824, 19, 0.0, 33.311
2015-02-27, ID773824, 20, -15.721, 33.671
2015-02-27, ID773824, 21, -39.355, 33.836
2015-02-27, ID773824, 22, -40.955, 33.766
2015-02-27, ID773824, 23, -31.145, 33.622
2015-02-27, ID773824, 24, -32.348, 33.542
2015-02-27, ID773838, 1, -29.445, 34.115
2015-02-27, ID773838, 2, -27.251, 33.704
2015-02-27, ID773838, 3, -26.043, 33.243
2015-02-27, ID773838, 4, -24.698, 33.307
2015-02-27, ID773838, 5, -23.362, 33.366
2015-02-27, ID773838, 6, -21.661, 33.423
2015-02-27, ID773838, 7, -20.013, 33.502
2015-02-27, ID773838, 8, -19.766, 33.541
2015-02-27, ID773838, 9, -20.452, 33.637
2015-02-27, ID773838, 10, -20.287, 33.686
2015-02-27, ID773838, 11, -21.827, 33.662
2015-02-27, ID773838, 12, -22.96, 33.721
2015-02-27, ID773838, 13, -24.133, 33.655
2015-02-27, ID773838, 14, -24.427, 33.532
2015-02-27, ID773838, 15, -23.574, 33.474
2015-02-27, ID773838, 16, -21.021, 33.475
2015-02-27, ID773838, 17, -14.617, 33.478
2015-02-27, ID773838, 18, -9.183, 33.475
2015-02-27, ID773838, 19, -6.549, 33.662
2015-02-27, ID773838, 20, -6.651, 34.011
2015-02-27, ID773838, 21, -7.146, 34.188
2015-02-27, ID773838, 22, -8.0, 34.168
2015-02-27, ID773838, 23, -11.844, 34.105
2015-02-27, ID773838, 24, -20.286, 34.1
2015-02-27, ID773844, 1, -25.715, 46.233
2015-02-27, ID773844, 2, -25.503, 46.154
2015-02-27, ID773844, 3, -25.653, 46.067
2015-02-27, ID773844, 4, -24.914, 46.087
2015-02-27, ID773844, 5, -24.944, 46.06
2015-02-27, ID773844, 6, -25.102, 46.043
2015-02-27, ID773844, 7, -24.721, 46.099
2015-02-27, ID773844, 8, -23.544, 46.086
2015-02-27, ID773844, 9, -23.587, 46.087
2015-02-27, ID773844, 10, -22.859, 46.1
2015-02-27, ID773844, 11, -23.269, 46.127
2015-02-27, ID773844, 12, -23.263, 46.129
2015-02-27, ID773844, 13, -23.86, 46.117
2015-02-27, ID773844, 14, -24.296, 46.113
2015-02-27, ID773844, 15, -24.4, 46.091
2015-02-27, ID773844, 16, -24.32, 46.06
2015-02-27, ID773844, 17, -24.453, 46.024
2015-02-27, ID773844, 18, -24.333, 45.988
2015-02-27, ID773844, 19, -24.481, 46.046
2015-02-27, ID773844, 20, -24.963, 46.101
2015-02-27, ID773844, 21, -25.269, 46.136
2015-02-27, ID773844, 22, -24.621, 46.141
2015-02-27, ID773844, 23, -24.539, 46.162
2015-02-27, ID773844, 24, -24.429, 46.21
2015-02-27, ID773857, 1, 0.0, 56.235
2015-02-27, ID773857, 2, 0.0, 55.446
2015-02-27, ID773857, 3, 0.0, 54.902
2015-02-27, ID773857, 4, 0.0, 54.415
2015-02-27, ID773857, 5, 0.0, 54.01
2015-02-27, ID773857, 6, 0.0, 53.57
2015-02-27, ID773857, 7, 0.0, 52.891
2015-02-27, ID773857, 8, 0.0, 52.225
2015-02-27, ID773857, 9, 0.0, 51.738
2015-02-27, ID773857, 10, 0.0, 51.345
2015-02-27, ID773857, 11, 0.0, 50.961
2015-02-27, ID773857, 12, 0.0, 50.557
2015-02-27, ID773857, 13, 0.0, 50.285
2015-02-27, ID773857, 14, 0.0, 50.288
2015-02-27, ID773857, 15, 0.0, 50.39
2015-02-27, ID773857, 16, 0.0, 50.549
2015-02-27, ID773857, 17, 0.0, 50.816
2015-02-27, ID773857, 18, 0.0, 51.364
2015-02-27, ID773857, 19, 0.0, 51.971
2015-02-27, ID773857, 20, 0.0, 52.494
2015-02-27, ID773857, 21, 0.0, 52.996
2015-02-27, ID773857, 22, 0.0, 53.574
2015-02-27, ID773857, 23, 0.0, 54.312
2015-02-27, ID773857, 24, 0.0, 55.551
2015-02-27, ID773869, 1, -42.293, 55.933
2015-02-27, ID773869, 2, -39.284, 55.572
2015-02-27, ID773869, 3, -38.883, 55.484
2015-02-27, ID773869, 4, -32.829, 55.434
2015-02-27, ID773869, 5, -29.53, 55.496
2015-02-27, ID773869, 6, -28.34, 55.693
2015-02-27, ID773869, 7, -25.483, 55.615
2015-02-27, ID773869, 8, -23.565, 55.256
2015-02-27, ID773869, 9, -24.711, 54.964
2015-02-27, ID773869, 10, -23.925, 54.614
2015-02-27, ID773869, 11, -23.408, 54.468
2015-02-27, ID773869, 12, -23.268, 54.334
2015-02-27, ID773869, 13, -23.476, 53.986
2015-02-27, ID773869, 14, -26.088, 53.383
2015-02-27, ID773869, 15, -24.513, 52.752
2015-02-27, ID773869, 16, -21.766, 52.265
2015-02-27, ID773869, 17, -12.581, 51.607
2015-02-27, ID773869, 18, -11.461, 51.143
2015-02-27, ID773869, 19, -6.091, 51.372
2015-02-27, ID773869, 20, -11.509, 52.141
2015-02-27, ID773869, 21, -11.67, 53.402
2015-02-27, ID773869, 22, -11.343, 54.252
2015-02-27, ID773869, 23, -14.793, 54.08
2015-02-27, ID773869, 24, -22.978, 53.524
2015-02-27, ID773937, 1, -73.645, 12.903
2015-02-27, ID773937, 2, -71.186, 12.975
2015-02-27, ID773937, 3, -68.72, 13.013
2015-02-27, ID773937, 4, -66.79, 13.013
2015-02-27, ID773937, 5, -63.907, 13.018
2015-02-27, ID773937, 6, -60.327, 13.031
2015-02-27, ID773937, 7, -58.009, 13.046
2015-02-27, ID773937, 8, -57.069, 13.055
2015-02-27, ID773937, 9, -55.672, 13.067
2015-02-27, ID773937, 10, -54.643, 13.033
2015-02-27, ID773937, 11, -53.722, 12.963
2015-02-27, ID773937, 12, -55.936, 12.933
2015-02-27, ID773937, 13, -56.258, 12.918
2015-02-27, ID773937, 14, -56.031, 12.949
2015-02-27, ID773937, 15, -56.665, 12.992
2015-02-27, ID773937, 16, -53.778, 13.052
2015-02-27, ID773937, 17, -43.049, 13.091
2015-02-27, ID773937, 18, -37.044, 13.12
2015-02-27, ID773937, 19, -35.211, 13.137
2015-02-27, ID773937, 20, -36.732, 13.137
2015-02-27, ID773937, 21, -37.494, 13.144
